date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2008-02-12,NO 15/9-F-12 H,11.5,308.0559395652174,104.41809,14.484431304347826,106.80593913043478,16.294718260869566,92.47510695652174,284.65,38888.67,385.01,,production
2008-02-13,NO 15/9-F-12 H,24.0,303.033518125,105.40269583333334,22.832986458333334,120.88857604166667,53.37432979166667,89.6201475,1869.7,285246.16,7.13,,production
2008-02-14,NO 15/9-F-12 H,22.5,295.58606133333336,105.77548622222223,31.249966444444443,113.71817466666667,72.73763088888889,80.12046511111112,3124.09,509954.88,1.16,,production
2008-02-15,NO 15/9-F-12 H,23.15,297.66270211663067,105.75187535637149,28.51893021276596,116.83064166306696,69.99594339092873,84.25099043196545,2608.28,383426.67,0.97,,production
2008-02-16,NO 15/9-F-12 H,24.0,295.9355189583333,105.811114375,30.227902291666666,115.43447416666666,71.51834708333334,82.35902625,3051.8,418474.0,4.89,,production
2008-02-17,NO 15/9-F-12 H,24.0,295.5516572916667,105.83129916666667,29.974052083333333,115.20587645833334,73.64180020833334,82.16850104166667,2982.63,422763.0,1.85,,production
2008-02-18,NO 15/9-F-12 H,23.0,294.21106282608696,105.86646695652173,30.30840304347826,113.2818152173913,74.16015652173913,80.26304456521738,2980.52,413831.0,6.48,,production
2008-02-19,NO 15/9-F-12 H,24.0,293.829243125,105.86795833333333,30.486976666666667,113.76912791666666,74.90183854166666,81.27494916666667,3046.19,429218.0,0.73,,production
2008-02-20,NO 15/9-F-12 H,24.0,293.0614802083333,105.87933021276596,29.907024375,113.39973666666667,73.03901723404255,80.77392092198582,3057.18,442982.75,0.46,,production
2008-02-21,NO 15/9-F-12 H,24.0,292.5402470833333,105.88343395833333,30.49301125,113.10635208333333,71.7374875,79.975169375,3030.33,423809.16,0.45,,production
2008-02-22,NO 15/9-F-12 H,23.66666,292.36155884690953,105.88229316314596,29.634476666666668,113.07932925762232,72.32731583740164,79.94799810529665,2907.56,397808.0,0.44,,production
2008-02-23,NO 15/9-F-12 H,15.14167,292.0884239965605,105.84901334553587,28.957179677419354,112.60272618715769,69.59702344933551,79.1622193134641,1851.72,252078.0,0.28,,production
2008-02-24,NO 15/9-F-12 H,24.0,290.54162541666665,105.90578958333333,30.799615416666665,111.18693166666667,73.19259291666667,77.93204895833334,3126.7,442808.0,0.47,,production
2008-02-25,NO 15/9-F-12 H,24.0,290.2081439583333,105.8956975,30.683435208333332,111.44973583333334,73.10786583333334,78.256700625,3045.54,439178.0,0.46,,production
2008-02-26,NO 15/9-F-12 H,24.0,289.53618458333335,105.90156645833333,30.923040416666666,110.93350979166667,72.30784145833333,77.72319291666666,3046.54,446905.0,0.46,,production
2008-02-27,NO 15/9-F-12 H,24.0,288.93326291666665,105.90246333333333,30.849319375,110.32551666666667,74.70248166666667,77.12799333333334,3035.54,445616.0,0.46,,production
2008-02-28,NO 15/9-F-12 H,23.66666,288.8482654034959,105.89608038428321,29.900441458333333,110.62871036087053,73.45067011961976,77.46549030672685,2971.55,424674.0,0.45,,production
2008-02-29,NO 15/9-F-12 H,24.0,287.5143464583333,105.906833125,31.0238775,109.446906875,73.39583479166667,76.21154791666666,3070.54,450348.0,0.46,,production
